taxonName,chi2,pValue,urbanCount,nonUrbanCount
Columba livia domestica,4975.007123600246,0.0,2222,1445
Passer domesticus,1662.3587254651593,0.0,1844,2856
Quiscalus mexicanus,1077.2605444291353,2.8921609634853318e-236,837,991
Spilopelia chinensis,1027.6518441445746,1.7532056367649293e-225,460,297
Copsychus saularis,1015.342690242772,8.305069052770452e-223,316,102
Pica pica,812.8168735709942,8.82001932824805e-179,520,514
Passer montanus,800.4010076782207,4.414432333987886e-176,512,506
Corvus cornix,797.4509896930869,1.9331384023839598e-175,459,406
Sicalis flaveola,756.4309550072678,1.6035714435931925e-166,445,403
Streptopelia decaocto,745.2844317213522,4.2534387478418194e-164,756,1098
Pycnonotus jocosus,691.1289583719133,2.5397322684744842e-152,283,159
Gallinula chloropus,618.9418233359752,1.2703021665985783e-136,394,387
Pycnonotus sinensis,608.4763060119155,2.399696724980181e-134,214,91
Myiopsitta monachus,603.9203330175765,2.3501738716133395e-133,264,164
Lonchura punctulata,601.0114536389764,1.0087885043474574e-132,306,234
Gracupica nigricollis,596.9454276269464,7.730287258226455e-132,150,22
Psittacula krameri,596.0660355388413,1.2008043730911994e-131,208,87
Acridotheres tristis,594.5129655269254,2.613856637850853e-131,372,359
Corvus frugilegus,571.7520269415996,2.334558460788338e-126,296,231
Haemorhous mexicanus,548.6146230594601,2.5198029716008437e-121,1415,3353
Furnarius rufus,513.4472829462393,1.1276894165202403e-113,251,182
Turdus rufopalliatus,502.1051687054265,3.3107773939175448e-111,182,82
Selasphorus sasin,500.2294242958198,8.473292955982287e-111,267,216
Podargus strigoides,479.18770452584414,3.2099455035212144e-106,232,166
Zenaida auriculata,478.0617236665226,5.642999737196868e-106,424,557
Turdus rufiventris,477.85351349856023,6.263491559519838e-106,196,110
Coereba flaveola,450.5403320314942,5.502050038537383e-100,259,228
Leptocoma zeylonica,446.85388384527073,3.489818110514484e-99,138,43
Haliaeetus leucocephalus,433.510770261952,2.7975401953611324e-96,98,3064
Zenaida asiatica,431.4722098292321,7.770750421499305e-96,462,695
Manorina melanocephala,422.8361517199001,5.890188444235079e-94,295,316
Trichoglossus moluccanus,410.19635696405436,3.3218852591876957e-91,327,394
Spilopelia senegalensis,404.2491710027868,6.54569240037358e-90,181,116
Mimus saturninus,396.3326035429115,3.46170334304436e-88,187,129
Coloeus monedula,393.71276949214473,1.287100716801908e-87,278,301
Apus apus,370.26462318971113,1.6389944769931956e-82,140,68
Pterorhinus perspicillatus,365.5187053944468,1.7698103273088602e-81,97,18
Eolophus roseicapilla albiceps,360.0401560786156,2.759561585678167e-80,150,86
Cracticus torquatus,358.2231896780245,6.862493073536969e-80,215,198
Acridotheres cristatellus,348.0793231407575,1.1101903417060309e-77,101,26
Columbina talpacoti,341.2824988323317,3.354028117592483e-76,223,224
Pitangus sulphuratus,337.6449030464015,2.078614658611159e-75,500,915
Turdus merula,336.31240751688193,4.054855156277643e-75,402,649
